No.,Estado,Sistema,Nombre_común,Género,Especie,Región, Localidad,Latitud,Longitud,Altitud,CodMunicip,Municipio
NA,Oaxaca,Agroforestal,Zapote/Mamey,Pouteria,sapota,sierra sur,San Francisco Coatlán,16.186944,-96.771944,1563,20291,San Pablo Coatlán
NA,Oaxaca,Agroforestal,Encino,Quercus,sp,sierra sur,San Francisco Coatlán,16.186944,-96.771944,1563,20291,San Pablo Coatlán
NA,Oaxaca,Agroforestal,"Encino (blanco, negro)",Quercus,sp,sierra sur,San Francisco Coatlán,16.186944,-96.771944,1563,20291,San Pablo Coatlán
NA,Oaxaca,Monocultivo,Caña,Saccharum,officinarum,sierra sur,San Francisco Coatlán,16.186944,-96.771944,1563,20291,San Pablo Coatlán
NA,Oaxaca,Agroforestal,macuil,Tabebuia,rosea,Sierra sur,San Francisco Coatlán,16.186944,-96.771944,1563,20291,San Pablo Coatlán
NA,Oaxaca,Monocultivo,Maíz,Zea,mays,sierra sur,San Francisco Coatlán,16.186944,-96.771944,1563,20291,San Pablo Coatlán
NA,Oaxaca,Agroforestal,guayabo,Acca,sellowiana,Cuicateca,San Pedro Teutila,17.975323,-96.70258,1090,20330,San Pedro Teutila
NA,Oaxaca,Monocultivo,piña,Ananas,comosus,Cuicateca,San Pedro Teutila,17.975323,-96.70258,1090,20330,San Pedro Teutila
NA,Oaxaca,Monocultivo,picante,Capsicum,annuum,Cuicateca,San Pedro Teutila,17.975323,-96.70258,1090,20330,San Pedro Teutila
NA,Oaxaca,Agroforestal,Cedro,Cedrela,odorata,Cuicateca,San Pedro Teutila,17.975323,-96.70258,1090,20330,San Pedro Teutila
NA,Oaxaca,Monocultivo,mandarinas,Citrus,reticulata,Cuicateca,San Pedro Teutila,17.975323,-96.70258,1090,20330,San Pedro Teutila
NA,Oaxaca,Monocultivo,Naranja,Citrus,sp,Cuicateca,San Pedro Teutila,17.975323,-96.70258,1090,20330,San Pedro Teutila
NA,Oaxaca,Agroforestal,Café,Coffea,arabica,Cuicateca,San Pedro Teutila,17.975323,-96.70258,1090,20330,San Pedro Teutila
